pos_wp1	pos_wp2
-2.392999999999999972e+01	-2.389999999999999858e+01
-2.389999999999999858e+01	-2.389999999999999858e+01
-2.394999999999999929e+01	-2.389999999999999858e+01
-2.389999999999999858e+01	-2.389999999999999858e+01
-2.389999999999999858e+01	-2.387999999999999901e+01
-2.389999999999999858e+01	-2.392000000000000171e+01
-2.389999999999999858e+01	-2.387999999999999901e+01
-2.387999999999999901e+01	-2.387999999999999901e+01
-2.392999999999999972e+01	-2.387999999999999901e+01
-2.403000000000000114e+01	-2.387999999999999901e+01
-2.403000000000000114e+01	-2.385999999999999943e+01
-2.403000000000000114e+01	-2.389000000000000057e+01
-2.403000000000000114e+01	-2.391000000000000014e+01
-2.400000000000000000e+01	-2.391000000000000014e+01
-2.403999999999999915e+01	-2.391000000000000014e+01
-2.401999999999999957e+01	-2.391000000000000014e+01
-2.401999999999999957e+01	-2.387999999999999901e+01
-2.401999999999999957e+01	-2.392999999999999972e+01
-2.401999999999999957e+01	-2.405999999999999872e+01
-2.401000000000000156e+01	-2.405999999999999872e+01
-2.403999999999999915e+01	-2.405999999999999872e+01
-2.401999999999999957e+01	-2.405999999999999872e+01
-2.401999999999999957e+01	-2.403000000000000114e+01
-2.401999999999999957e+01	-2.407999999999999829e+01
-2.401999999999999957e+01	-2.403999999999999915e+01
-2.400000000000000000e+01	-2.403999999999999915e+01
-2.403999999999999915e+01	-2.403999999999999915e+01
-2.421999999999999886e+01	-2.403999999999999915e+01
-2.421999999999999886e+01	-2.401999999999999957e+01
-2.421999999999999886e+01	-2.405000000000000071e+01
-2.421999999999999886e+01	-2.403999999999999915e+01
-2.419999999999999929e+01	-2.403999999999999915e+01
-2.423999999999999844e+01	-2.403999999999999915e+01
-2.423999999999999844e+01	-2.403999999999999915e+01
-2.423999999999999844e+01	-2.401999999999999957e+01
-2.423999999999999844e+01	-2.405999999999999872e+01
-2.423999999999999844e+01	-2.403000000000000114e+01
-2.423000000000000043e+01	-2.403000000000000114e+01
-2.425000000000000000e+01	-2.403000000000000114e+01
-2.426000000000000156e+01	-2.403000000000000114e+01
-2.426000000000000156e+01	-2.401000000000000156e+01
