angle_wp1	angle_wp2	cts_h	cts_v	qber
-160	-130	194798.79291618447	148652.44469308754	0.5671803493041935
-160	-120	162987.2835446784	142757.47776665806	0.5330828330324531
-160	-110	133206.94681580082	137179.53787761333	0.4926538653248202
-160	-100	140950.28783981403	150545.4050728695	0.4835415797448341
-160	-90	137502.86998163213	143383.76984387301	0.4895315422159376
-160	-80	156391.41590371987	141810.87063025593	0.524447406897738
-160	-70	187557.3541600884	141895.01434059572	0.5693003665860696
-160	-60	217418.98209510976	141618.53902744985	0.605560614989018
-160	-50	223968.86540499405	135032.99073521435	0.6238654802874414
-160	-40	214012.45706094493	138324.57666533222	0.6074083521609212
-160	-30	186049.32464556224	136113.1757826839	0.5775014919435052
-160	-20	170653.37307192033	146166.1761614463	0.5386453376531335
-160	-10	158595.0349506579	146439.40172697368	0.5199250179030288
-160	0	158892.80430656264	145846.82828591322	0.521405118706853
-160	10	178413.11486558086	141568.39201778756	0.5575732066622572
-160	20	181603.49939859606	122660.83036465454	0.5968609581672046
-160	30	212105.37683362293	122420.3214855496	0.6340480803099683
-160	40	231769.30390921215	128347.54258657398	0.6435947281125717
-160	50	207052.07704076273	124321.01795188317	0.6248306823019467
-160	60	193598.40875121183	131198.81564207195	0.596059307812284
-160	70	193534.2648163276	146582.16506798778	0.5690235690235691
-160	80	181629.94988956215	151351.87672862646	0.5454650535562918
-160	90	177899.33541721365	150118.4108750632	0.5423466791906383
-160	100	193133.64830300974	147357.71585557703	0.5672204015519644
-160	110	203995.74153215584	138747.67021170017	0.5951850117096018
-160	120	213988.4224910349	129228.9808273201	0.6234777736271947
-160	130	216035.48468686154	128637.77077112473	0.6267834282639753
-160	140	207182.40258173732	138998.5574649558	0.5984800624326434
-160	150	191991.46943933825	157050.12473739497	0.5500532676977333
-160	160	182060.95156916435	183340.08337831078	0.498249687758369
-160	170	179537.63748419227	198648.71523969175	0.4747332530406609
-160	180	182589.71479228995	193647.99219611086	0.485304134595736
-150	-180	121533.89554168569	213008.67306545103	0.3632837998694467
-150	-170	198387.66928045117	203662.45421546503	0.49344014013831355
-150	-160	277425.9008330435	160048.95922202544	0.6341527849123064
-150	-150	304174.678907975	109607.87180632951	0.7351075543975558
-150	-140	316354.8699103837	104858.94602528212	0.751055302418433
-150	-130	296680.9313899517	143509.94011194495	0.6739824712350342
-150	-120	226917.27997253838	193789.8628411139	0.5393711132521678
-150	-110	176279.09862282375	271709.39711372374	0.3934902353530295
-150	-100	145771.48078488524	295645.94985820074	0.3302349899787957
-150	-90	165512.7559238902	277335.6342375868	0.37374586788841846
-150	-80	235246.73595587382	227387.8564787693	0.5084936141888425
-150	-70	324449.33300379256	167110.58396391454	0.6600402551233794
-150	-60	382825.11933996953	120313.3515489573	0.7608742751545275
-150	-50	369089.08198499435	107038.13994180906	0.7751900437268752
-150	-40	317756.23100899265	134631.47554534877	0.7023980236536851
-150	-30	237312.77655791372	177351.89394090173	0.5723004476664033
-150	-20	161902.02970849077	212367.49580184717	0.4325813849998289
-150	-10	131673.80232726413	230496.60333236857	0.3635686413621852
-150	0	148558.17621440976	214138.60619177937	0.40959331160549806
-150	10	209948.84236908203	172179.5563859117	0.5494196271544144
